competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,1,496,Jemina Sakomaa,POETRYIN MOTION MADE MY DAY,bordercollie,FIN,0.0,1.0,-46.72,-46.72,16.28,13.45,False,Daniel Walz,63.0,95.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,1,326,Elena Dambrauskaite,Whispering a kiss original amie,bordercollie,,5.0,1.0,-13.43,5.0,33.57,5.3,False,Tobias Sjöberg,47.0,71.0,178.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,1,526,Katariina Kuiro,MELISSA ANDRE BLOOMS,bordercollie,FIN,5.0,1.0,-14.55,5.0,39.45,5.55,False,Neil Ellis (Iso-Britannia),54.0,81.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,2,506,Svetlana  Kreslina,Flyland Nimbus Dance,bordercollie,,0.0,1.0,-30.18,-30.18,32.82,6.67,False,Daniel Walz,63.0,95.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,2,342,Jemina Sakomaa,TODELLINEN BEEWEE,bordercollie,FIN,5.0,1.0,-9.3,5.0,37.7,4.72,False,Tobias Sjöberg,47.0,71.0,178.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,2,517,Roman Maruszczak,Crazy Barking Monsters SOLAR STORM,lyhytkarvainen pyreneittenpaimenkoira,POL,5.0,1.0,-10.41,5.0,43.59,5.02,False,Neil Ellis (Iso-Britannia),54.0,81.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,3,499,Tuulia Liuhto,PROMILLEN KIR ROYAL,bordercollie,,0.0,1.0,-28.89,-28.89,34.11,6.42,False,Daniel Walz,63.0,95.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,3,328,Indrė Pašakinskaitė,Call me Pocahontas Gudri lapė,bordercollie,,15.0,1.0,-16.79,15.0,30.21,5.89,False,Tobias Sjöberg,47.0,71.0,178.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,3,494,Marjo Korander,RIVERFLOWERS FYR,bordercollie,,5.0,1.0,-9.8,5.0,44.2,4.95,False,Neil Ellis (Iso-Britannia),54.0,81.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,4,525,Jenny Naumanen,MINDPOWER ALL IN ARMI,bordercollie,FIN,0.0,1.0,-28.84,-28.84,34.16,6.41,False,Daniel Walz,63.0,95.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,4,344,Kaisa Jalava,DWYLCH WILDFIRE,bordercollie,,15.0,1.0,-14.4,15.0,32.6,5.46,False,Tobias Sjöberg,47.0,71.0,178.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,4,506,Svetlana  Kreslina,Flyland Nimbus Dance,bordercollie,,5.0,1.0,-9.0,5.0,45.0,4.87,False,Neil Ellis (Iso-Britannia),54.0,81.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,5,472,Minna Kiviniemi-Riihinen,STOLICHNAYA,bordercollie,,0.0,1.0,-26.12,-26.12,36.88,5.94,False,Daniel Walz,63.0,95.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,5,325,Tatjana Nikitina,Brava Born in North,bordercollie,,15.0,1.0,9.49,24.49,56.49,3.15,False,Tobias Sjöberg,47.0,71.0,178.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,5,510,Tommi Raita-aho,TUUS PUOLIVALSSI,kroatianpaimenkoira,FIN,5.0,1.0,-4.69,5.0,49.31,4.44,False,Neil Ellis (Iso-Britannia),54.0,81.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,6,470,Janina Kantola,WONDERWOMAN,bordercollie,FIN,0.0,1.0,-15.69,-15.69,47.31,4.63,False,Daniel Walz,63.0,95.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,6,531,Anne Barck,RED'N READY VOLCANIC WINTER,australianpaimenkoira,,5.0,1.0,-1.99,5.0,52.01,4.21,False,Neil Ellis (Iso-Britannia),54.0,81.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,7,488,Anna Parviainen,PROMILLEN NAPUE,bordercollie,FIN,0.0,1.0,-13.29,-13.29,49.71,4.41,False,Daniel Walz,63.0,95.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,7,499,Tuulia Liuhto,PROMILLEN KIR ROYAL,bordercollie,,10.0,1.0,-7.36,10.0,46.64,4.7,False,Neil Ellis (Iso-Britannia),54.0,81.0,219.0
Midsummer Dog Sports Festival 2025,ind_agility_intermediate_1,Intermediate,Agility,False,8,478,Juha Orenius,AKATEMIAN HERA,bordercollie,FIN,0.0,1.0,-13.17,-13.17,49.83,4.39,False,Daniel Walz,63.0,95.0,219.0
