competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
ProsecCup 2024,ind_agility_intermediate_1,Intermediate,Agility,False,1,330,Luca De Silvestri,WACKY RACES' GANG LEIA PRINCESS OF ALDERAAN (cp),Border collie,ITA,1,0,,5,29.74,,False,BRANDL ANGELIKA,46.49,69.73,172
ProsecCup 2024,ind_agility_intermediate_1,Intermediate,Agility,False,2,393,Giovanni Rigamonti,MASAAL NEVER GIVE UP-N (cp),Schnauzer medio nero,ITA,1,0,,5,39.88,,False,BRANDL ANGELIKA,46.49,69.73,172
ProsecCup 2024,ind_agility_intermediate_1,Intermediate,Agility,False,3,215,Gianluca Schingaro,SUPERGIRL DEI MATIBLU (cp),Border collie,ITA,1,1,,10,34.99,,False,BRANDL ANGELIKA,46.49,69.73,172
ProsecCup 2024,ind_agility_intermediate_1,Intermediate,Agility,False,4,22,Antonella Caprini,JUICE IN THE STAR (cp),Border collie,ITA,2,1,,15,36.61,,False,BRANDL ANGELIKA,46.49,69.73,172
ProsecCup 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,8,virginia cutini,NALA (cp),Border collie,ITA,,,,,,,True,BRANDL ANGELIKA,46.49,69.73,172
ProsecCup 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,52,Milena Fornalè,CRAZY HAPPY SUPUNNA (cp),Cane da pastore croato,ITA,,,,,,,True,BRANDL ANGELIKA,46.49,69.73,172
ProsecCup 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,246,Marcello Bianchi,BLACKSHEEP'S LULLABY EXPRESS COFFEE (cp),Border collie,ITA,,,,,,,True,BRANDL ANGELIKA,46.49,69.73,172
ProsecCup 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,159,Biagio Raucci,ETERNAL SUNSHINE THOR CAN FLY (cp),Cane da pastore dei pirenei,ITA,,,,,,,True,BRANDL ANGELIKA,46.49,69.73,172
ProsecCup 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,102,Elisa Bertazza,CARRY ON (cp),Border collie,ITA,,,,,,,True,BRANDL ANGELIKA,46.49,69.73,172
ProsecCup 2024,ind_agility_intermediate_1,Intermediate,Agility,False,,201,Serena Sarti,MIND THE DOG MASCOTTE (cp),Border collie,ITA,,,,,,,True,BRANDL ANGELIKA,46.49,69.73,172
